,sentence,pos,language,switch
0,me estás ahora mismo hablando de cuál versión de la ecuatoriana o la colombiana ?,pro:obj aux adv adj ger prep pro:int n prep det:art n coord det:art n ?,ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP,0
1,la de los colombianos dicen que los estuvieron siguiendo en caliente .,pro:obj v det:art n v pro:rel pro:obj aux ger prep v .,ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP,0
2,ya .,adv .,ESP,0
3,que por eso no se dieron cuenta .,pro:rel prep pro:dem adv pro:refl v co .,ESP ESP ESP ESP ESP ESP ESP,0
4,y tuvieron que pasar el límite de porque estaban en una persecución prácticamente en el momento en que pasaba .,coord v pro:rel inf det:art n imp conj cop prep pro:dem n adv:adj prep det:art n prep pro:rel v .,ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP,0
5,y no lo podían dejar escapar al tipo .,coord adv pro:obj v inf inf aprep n .,ESP ESP ESP ESP ESP ESP ESP ESP,0
6,los estaban siguiendo .,pro:obj aux ger .,ESP ESP ESP,0
7,pero los terroristas estaban en Ecuador ?,conj pro:obj n cop prep n:prop ?,ESP ESP ESP ESP ESP ESP,0
8,supuestamente cruzaron .,adv:adj v .,ESP ESP,0
9,la versión colombiana es que estaban en Colombia .,det:art n adj cop pro:rel cop prep n:prop .,ESP ESP ESP ESP ESP ESP ESP ESP,0
10,y de Colombia pasaron a Ecuador .,coord prep n:prop v aprep n:prop .,ESP ESP ESP ESP ESP ESP,0
11,that's what they say .,pro:dem pro:wh pro:sub v .,ESP ESP ESP ESP,0
12,that's what Colombia say .,L2 L2 n:prop L2 .,ENG ENG ESP ENG,1
13,"but cuando tú hablas con la gente de Ecuador Ecuador dice ""/.","L2 conj pro:sub v prep det:art n prep n:prop n:prop v +""/.",ENG ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP,1
14,no .,adv .,ESP,0
15,por qué ?,prep pro:int ?,ESP ESP,0
16,porque cuando fueron a ver todo lo que pasó después del bombardeo cuando ya vieron a la gente que estaba prácticamente muerta o laying en el piso supuestamente estaban en ropa de dormir .,conj conj cop aprep inf det:indef pro:obj pro:rel v adv prep v pro:rel adv v aprep det:art n pro:rel cop adv:adj part coord L2 prep det:art v adv:adj cop prep n prep inf .,ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ENG ESP ESP ESP ESP ESP ESP ESP ESP ESP,1
17,mhm .,co .,ESP,0
18,okay .,co .,ESP,0
19,cómo tú puedes pensar que los estás siguiendo de un país a otro en ropa de dormir ?,pro:int pro:sub v inf prep det:art aux ger prep det:art n aprep det:indef prep n prep inf ?,ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP,0
20,la versión del Ecuador es que ellos estaban camping en el territorio ecuatoriano .,det:art n prep n:prop cop pro:rel pro:sub aux L2 prep det:art n n .,ESP ESP ESP ESP ESP ESP ESP ESP ENG ESP ESP ESP ESP,1
21,okay .,co .,ESP,0
22,y que los colombianos cruzaron la frontera .,coord pro:rel det:art n v det:art n .,ESP ESP ESP ESP ESP ESP ESP,0
23,y los bombardearon cuando ellos estaban durmiendo .,coord pro:obj v conj pro:sub aux ger .,ESP ESP ESP ESP ESP ESP ESP,0
24,excuse me los qué ?,L2 L2 det:art pro:int ?,ENG ENG ESP ESP,1
25,los colombianos .,det:art n .,ESP ESP,0
26,no antes de eso .,adv adv prep pro:dem .,ESP ESP ESP ESP,0
27,hm ?,co ?,ESP,0
28,tú dijiste una palabra que no la entendí .,pro:sub v det:art n pro:rel adv pro:obj v .,ESP ESP ESP ESP ESP ESP ESP ESP,0
29,cuál de todas ?,pro:int prep det:indef ?,ESP ESP ESP,0
30,dijiste una palabra que no la entendí .,v det:art n pro:rel adv pro:obj v .,ESP ESP ESP ESP ESP ESP ESP,0
31,bueno la cosa es que esa es la versión que dicen los colombianos .,co pro:obj v cop pro:rel det:dem cop det:art n pro:rel v det:art n .,ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP,0
32,la versión de los ecuatorianos pues es esa de que ellos estaban durmiendo .,det:art n prep det:art n co cop det:dem prep pro:rel pro:sub aux ger .,ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP,0
33,ya .,adv .,ESP,0
34,entonces existe lo que es //.,adv v pro:obj pro:rel cop +//.,ESP ESP ESP ESP ESP,0
35,gracias a dios después de todo el bombardeo que hubo pudieron calcular una computadora .,n aprep co adv prep det:indef det:art v pro:rel aux v inf det:art n .,ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP,0
36,que yo creo que para mí esa es la razón por la cual cuando vino la reunión de Río que estuvieron todos los presidentes Uribe tenía todos los papeles y todos los ases debajo de la manga .,pro:rel pro:sub v pro:rel prep pro:prep det:dem cop det:art n prep det:art pro:rel pro:rel n det:art n prep n:prop pro:rel cop det:indef det:art n n:prop v det:indef det:art n coord pro:indef det:art v adv prep det:art n .,ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP,0
37,por eso es que tu querido presidente Correa tuvo que morderse la lengua /.,prep pro:dem cop pro:rel det:pos part n n:prop v pro:rel inf det:art n +/.,ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP,0
38,el tuyo .,det:art pro:pos .,ESP ESP,0
39,morderse la lengua y decir que está bien que se acababa el conflicto .,inf det:art n coord inf pro:rel cop adv pro:rel pro:refl v det:art n .,ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP,0
40,lo mismo que Chávez y lo mismo que nuestro gran amigo Noriega .,pro:obj adj pro:rel n:prop coord pro:obj adj pro:rel pro:pos adj n n:prop .,ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP,0
41,mm .,co .,ESP,0
42,okay .,co .,ESP,0
43,esa es la versión que supuestamente se baraja .,det:dem cop det:art n prep adv:adj imp n .,ESP ESP ESP ESP ESP ESP ESP ESP,0
44,so se puede interpretar como que el laptop que supuestamente encontraron que dijeron que había evidencia que comprobaba que Ecuador tenía vínculos con las Farc era verídico .,L2 pro:refl v inf adv pro:rel det:art L2 prep adv:adj v pro:rel v pro:rel aux n pro:rel v pro:rel n:prop v n prep det:art n:prop cop adj .,ENG ESP ESP ESP ESP ESP ESP ENG ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP,1
45,las Farc .,det:art n:prop .,ESP ESP,0
46,exactamente .,adv:adj .,ESP,0
47,por eso fue entonces que el presidente se hizo el loco .,prep pro:dem cop adv pro:rel det:art n pro:refl v det:art adj .,ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP,0
48,claro porque tú sabes cómo es Correa .,co conj pro:sub v pro:int cop n:prop .,ESP ESP ESP ESP ESP ESP ESP,0
49,ya .,adv .,ESP,0
50,Correa considera que es el dueño de la palabra .,n:prop v pro:rel cop det:art n prep det:art n .,ESP ESP ESP ESP ESP ESP ESP ESP ESP,0
51,"y la Onu prácticamente lo dijo ""/.","coord det:art n:prop adv:adj pro:obj v +""/.",ESP ESP ESP ESP ESP ESP,0
52,Colombia no tenía por qué traspasar Ecuador .,n:prop adv v prep pro:int inf n:prop .,ESP ESP ESP ESP ESP ESP ESP,0
53,correcto .,adj .,ESP,0
54,aun así que estaba siguiendo a un terrorista como Reyes que era la primera o la segunda cabeza de Farc .,adj adv pro:rel aux ger aprep det:art n adv n:prop pro:rel cop det:art adj:num coord det:art adj:num n prep n:prop .,ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP,0
55,y ahorita cambiando tú tienes tu licencia con residence verdad ?,coord adv ger pro:sub v det:pos v prep L2 co ?,ESP ESP ESP ESP ESP ESP ESP ESP ENG ESP,1
56,no why ?,co adv:wh ?,ESP ESP,0
57,no tienes tu licencia ?,adv v det:pos v ?,ESP ESP ESP ESP,0
58,no no here .,adv adv L2 .,ESP ESP ENG,1
59,con el address de aquí .,prep det:art L2 prep adv .,ESP ESP ENG ESP ESP,1
60,no .,adv .,ESP,0
61,de seguro .,prep co .,ESP ESP,0
62,ah mi tía .,co det:pos n .,ESP ESP ESP,0
63,ya .,adv .,ESP,0
64,no but she's changing .,co conj pro:sub part .,ESP ESP ESP ESP,0
65,why why you need it ?,adv:wh adv:wh pro v pro ?,ESP ESP ESP ESP ESP,0
66,ya no tiene que .,adv adv v pro:rel .,ESP ESP ESP ESP,0
67,necesitaba que votaras por mi jefe .,v pro:rel v prep det:pos n .,ESP ESP ESP ESP ESP ESP,0
68,that's is the letter that's is the sign you have ...,pro:dem cop det n rel cop det n pro v +...,ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP,0
69,ah pero mi tía no es ciudadana .,co conj det:pos n adv cop n .,ESP ESP ESP ESP ESP ESP ESP,0
70,no no todavía le falta .,adv adv adv pro:ind v .,ESP ESP ESP ESP ESP,0
71,hm yeah .,co co .,ESP ESP,0
72,I'm working for este Antonio_López .,n:prop:L2 L2 L2 imp n:prop .,ESP ENG ENG ESP ESP,1
73,que está lanzándose para commissioner .,pro:rel cop ger prep L2 .,ESP ESP ESP ESP ENG,1
74,de la ciudad de Miramar .,prep det:art n prep n:prop .,ESP ESP ESP ESP ESP,0
75,no .,adv .,ESP,0
