,sentence,pos,language,switch
0,bueno y qué tú crees de aquí la cuadra lo que están haciendo ?,co coord pro:int pro:sub v prep adv det:art n pro:obj pro:rel aux ger ?,ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP,0
1,la rotondita esa do you like that ?,det:art n det:dem L2 L2 L2 L2 ?,ESP ESP ESP ENG ENG ENG ENG,1
2,pero that's illegal .,conj L2 L2 .,ESP ENG ENG,1
3,esa rotonda es illegal .,det:dem n cop L2 .,ESP ESP ESP ENG,1
4,from what I know .,prep pro:wh pro:sub v .,ESP ESP ESP ESP,0
5,supuesto de eso es illegal .,n prep pro:dem cop L2 .,ESP ESP ESP ESP ENG,1
6,y si entra algún camión ahí por ejemplo a dejar muebles o cualquier cosa .,coord conj v det:indef n adv prep n aprep inf n coord pro:indef v .,ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP,0
7,yo no sé .,pro:sub adv v .,ESP ESP ESP,0
8,cómo va a doblar esa rotondita ?,pro:int v aprep inf det:dem n ?,ESP ESP ESP ESP ESP ESP,0
9,porque no está fácil para los carros de uno .,conj adv cop adj prep det:art n prep pro:dem .,ESP ESP ESP ESP ESP ESP ESP ESP ESP,0
10,no .,adv .,ESP,0
11,no pero /.,adv conj +/.,ESP ESP,0
12,no tanto este lado sino el lado izquierdo .,adv adj imp n conj det:art n adj .,ESP ESP ESP ESP ESP ESP ESP ESP,0
13,el de entrar o el de salir ?,det:art prep inf coord det:art prep inf ?,ESP ESP ESP ESP ESP ESP ESP,0
14,cuando tú entras .,conj pro:sub v .,ESP ESP ESP,0
15,mhm .,L2 .,ENG,0
16,bueno ese está en la intersección .,co det:dem cop prep det:art n .,ESP ESP ESP ESP ESP ESP,0
17,ese tiene bastante espacio .,det:dem v adv n .,ESP ESP ESP ESP,0
18,el otro yo lo veo más difícil porque es más estrechito .,det:art pro:indef pro:sub pro:obj v adv adj conj cop adv adj .,ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP,0
19,pero viste las cositas que compraron para los speed bumps ?,conj v det:art n pro:rel v prep det:art L2 L2 ?,ESP ESP ESP ESP ESP ESP ESP ESP ENG ENG,1
20,tú viste lo que van a hacer ?,pro:sub v pro:obj pro:rel v aprep inf ?,ESP ESP ESP ESP ESP ESP ESP,0
21,no .,adv .,ESP,0
22,tú no has visto una /.,pro:sub adv aux part det:art +/.,ESP ESP ESP ESP ESP,0
23,sí los bloquecitos esos .,co det:art n det:dem .,ESP ESP ESP ESP,0
24,los bloquecitos esos para ponerlos en el medio .,det:art n det:dem imp inf prep det:art adj .,ESP ESP ESP ESP ESP ESP ESP ESP,0
25,sí .,co .,ESP,0
26,donde estaban las tablitas esas .,pro:rel cop det:art n det:dem .,ESP ESP ESP ESP ESP,0
27,en lo que hicieron de concreto .,prep pro:obj pro:rel v prep adj .,ESP ESP ESP ESP ESP ESP,0
28,ajá .,co .,ESP,0
29,y pero eso lo que va a ser como un pedacito de tile ahí .,coord conj pro:dem pro:obj pro:rel v aprep inf adv det:art n prep L2 adv .,ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ENG ESP,1
30,sí pero a lo mejor .,co conj aprep pro:obj adj .,ESP ESP ESP ESP ESP,0
