,sentence
0,well she was telling me about this thing with Oprah .
1,that she's a new age thing .
2,and she's a book .
3,and she has a video blog .
4,and she's promoting her book after her show .
5,it's weird .
6,I'm gonna go online to see what it's all about .
7,a new age thing ?
8,yeah like you're your own god .
9,like this ...
10,and stuff like that .
11,I've heard of those things .
12,she's into that now ?
13,I guess .
14,you know and she has a new show about .
15,she gets like ten people .
16,mhm .
17,and they have to //.
18,I don't know what it is .
19,it's about basically she's giving them money .
20,or they get millions of dollars or something to donate .
21,mhm .
22,to a charity of their choice .
23,but that's the whole show .
24,"and I'm like ""/."
25,you're just trying to show and promote that you're trying to donate so much millions of dollars right .
26,you have to promote it and make a thing out of it .
27,yeah .
28,and then the people who are able to raise the thing the most funds and donate it .
29,she gives them like ten million dollars or something .
30,oh .
31,no .
32,I'm like I'm not interested in that you know .
33,I don't know .
34,I think it's getting to her head that she's like ...
35,I think what she does is great .
36,very influential or something .
37,it's like Bono you know .
38,yeah .
39,pero .
40,I've never watched Oprah .
41,whatever .
42,and the drama continues /.
43,y Fernando ?
44,he's good he's good .
45,I'm leaving on Friday .
46,okay .
47,please don't leave .
48,the chair .
49,I haven't seen any of the pictures yes !
50,well maybe they can email it to you right ?
51,yeah .
52,you check your email in Nicaragua ?
53,yeah email it to me .
54,okay I'll email it .
55,sorry I keep right //.
56,and I saw it today .
57,because I you know I use it to put my shoes off .
58,said I don't think my grandmother's gonna get it right .
59,I showed it to her .
60,.
61,say oh she went to the plastic surgery .
62,se jaló la cara de nuevo .
63,ah my lord !
64,your grandmother !
65,because I remember when she did it the first time .
66,your grandmother was here visiting .
67,you know we used to live with my dad over there .
68,and then we went to go see them .
69,mhm .
70,"and your grandmother was like ""/."
71,oh todo se mira en las manos .
72,la vejez se mira en las manos .
73,because it's true .
74,you like you see her face is off .
75,and your hands age .
76,but yeah you do see her .
77,so se jaló la cara nueva .
78,so I don't know .
79,ay how funny .
80,I don't wanna .
81,if she gets me one fine then I'll use it you know .
82,but I trust you more .
83,que no diga Nicaragua por favor .
84,yeah just plain just mhm sin nada .
85,like you know how they're like they're ...
86,I mean in the bottom of it fine .
87,pero no you know they're so patriotic and they ...
88,yeah yeah I know I know .
89,I'm sorry !
90,just email it to me .
91,yo se lo mando a Fernando .
92,I'll email it closed and I'll email it open .
93,yeah .
94,so you can see how it cool .
95,no but he's good .
96,he's moving ...
97,where ?
98,to .
99,with he lives with his mom or with his sister ?
100,no with his mom .
101,they're moving from the house there right .
102,and right now .
103,porque it's a lot cheaper .
104,it's like almost fifty dollars cheaper /.
105,but they sold their house verdad ?
106,in rent .
107,they sold their house .
108,okay .
109,but the thing is ...
110,that es su tío that has lived with him like I don't know how like ya several years ...
111,he doesn't pay anything .
112,él no paga nada en la casa .
113,like he doesn't like even water .
114,and he lives there with his /.
115,el machismo !
116,he lives there with his wife and his daughter .
117,and I understand see you know if you don't have enough money at least algo you know .
118,yeah .
119,but nothing .
120,"so his mom's like ""/."
121,I I can't mantener su familia any more you know .
122,I /.
123,it's his wife and everybody ?
124,not just ...
125,yeah you know .
126,and she's retired the /.
127,qué .
128,her she's responsible for the you know her mom .
129,and her older daughter .
130,pero ella es enfermita .
131,yeah .
132,so Fernando's like fed up with it .
133,well the thing is that they started looking for a new house to move in .
134,just Fernando and his mom ?
135,uhhuh and his nieces .
136,and the grandmother ?
137,if she wants to go with them .
138,because she was taking /.
139,but the sister the one that was married and lives somewhere else right .
140,yeah she lives somewhere else .
141,okay .
142,but the grandmother was taking you know her son's side .
143,but the thing is that yeah /.
144,como siempre como siempre .
145,I don't know yeah .
146,it's so annoying .
147,los hombres .
148,it's a little machista .
149,Nick and his mom que todo era como hombre .
150,yeah .
151,she tell me like they favor them so much .
152,yeah I don't know if it's like this hispanic thing /.
153,how annoying .
154,that the men are ...
155,yeah .
156,no matter what the ...
157,with my mom and my uncle you know my mom says that she's like you know she's always favored my uncle .
158,my grandma was the same way with my brother .
159,like even to this day she'll give like you know money to pay the rent y todo .
160,like if because he goes to work .
161,"and he's like ""/."
162,bueno yo no quiero ir .
163,so he'll call in sick .
164,so to make up the difference my grandmother will give it to him .
165,that's low .
166,qué jodían it's like stupid Nicaraguans !
167,it's in general .
168,I don't agree that's all yeah .
169,I think it's like all .
170,I mean I understand helping your kid if they're in a crisis situation /.
171,yeah but ...
172,", pero darle lo que quieres dar ..."
173,wow well the thing is that they found this place right .
174,but the house comes with a little efficiency .
175,outside .
176,oh okay .
177,within the .
178,you know within the area ?
179,"and so Fernando's like ""/."
180,well just tell my uncle that he wants to go live with us that he can rent the apartment out .
181,rent okay .
182,don't let him know that it comes with the house .
183,bueno .
184,"so they're like ""/."
185,well if you wanna move in next to us it's cheap it's fifty dollars .
186,and you're not gonna get cheaper than that anywhere .
187,mhm .
188,so he's gonna pay for the fifty dollars his water his light .
189,he thinks that he's just helping out .
190,yeah .
191,don't wanna know .
192,it's you know but that was the only way ...
193,.
194,to make him you know .
195,but why do they have to live with him ?
196,why can't he live with his wife and kids in another place ?
197,because apparently he can't afford living on his own .
198,the grandmother wants the ...
199,I know the situation's difficult y todo but ...
200,pero he works ?
201,a lot of yeah .
202,and his wife works también ?
203,yes .
204,and somehow Fernando's /.
205,how many kids do they have ?
206,one kid ?
207,one little girl .
208,and they can't afford rent or anything ?
209,not even ...
210,and Fernando's mom retired .
211,and Fernando are sustaining all of them .
212,I mean that's like ridiculous .
213,that's crazy .
214,pero bueno .
215,but I'm going on Friday .
216,for how long ten days ?
217,yeah .
218,take pictures ah exciting !
219,yeah I can't wait to get ...
220,I need a .
221,does Spirit fly to Nicaragua ?
222,from huh ?
223,Spirit airlines do they fly to Nicaragua ?
224,yeah .
225,from Fort_Lauderdale ?
226,Fernando ...
227,my my friends ones at work .
228,uhhuh .
229,the ones I was telling you about right now .
230,but the whole drama thing and everything .
231,they joined the Spirit airfare thing .
232,mhm .
233,and for nine dollars .
234,they're going to New_York for thirty six dollars round trip .
235,Fernando joined it .
236,he's been telling me to join .
237,"I told Michael I'm like ""/."
238,I think I'm going to do it .
239,well you pay nine dollars for the first three months .
240,and then after that it's thirty dollars for the whole year .
241,so even if you don't end up buying an airfare you still save what you would .
242,it's thirty yeah .
243,yeah and the odds are you are gonna travel at least to one place .
244,it's just like ...
245,and so we have another firm .
246,our architecture firm .
247,uhhuh .
248,like next door our office .
249,and the reception there and the office manager in in our office are going everywhere .
250,like they went to New_York .
251,they did a whole thing in New_York for twenty four hours .
252,they flew in like at six in the morning .
253,I should do ...
254,and left like at six in the morning the next day .
255,they were up the whole day .
256,uhhuh .
257,this time round they're doing the same thing for .
258,but they're coming on a Friday and leaving on a Saturday .
259,then they're going to Boston .
260,oh !
261,they gave them a list .
262,they're going to Boston .
263,they're going to Washington .
264,"they're going to the husband's like ""/."
265,y ay !
266,are you okay like ?
267,.
268,you know like after a while .
269,so hello !
270,he was like .
271,"yeah he says ""/."
272,are you gonna travel the whole country with Paige ?
273,porque se llama Paige the girl .
274,ah !
275,so it's really gonna .
276,"I'm like ""/."
277,I think I'm gonna join .
278,the only thing is they don't fly to Canada so I'm like ...
279,yeah .
280,but they fly to Chicago .
281,they have Chicago from Fort_Lauderdale .
282,for forty eighty eight dollars round trip .
283,Fernando from Nicaragua he paid I think it was like one hundred and two or something like that something ridiculous .
284,Jamaica round trip ticket to Kingston where Michael stays one oh nine .
285,it's good .
286,.
287,so what happened at work ?
288,I need a ...
289,.
290,Lauren like ay me tienen cansada .
291,it's ridiculous .
292,what ...
293,Thursday one of the girls like we were fed up .
294,because it's like Lauren you know we put all our work and all our efforts .
295,and we try to please her and whatever .
296,mhm .
297,and we really like what we're doing .
298,and I like my art .
299,this is the cousin of the of the boss ?
300,the same old lady that you've been ah .
301,yeah I mean she's there .
302,I mean you can't do anything about .
303,the thing is that one of the girls she went into her office Thursday .
304,"and told her ""/."
305,look .
306,what's wrong .
307,why ?
308,if you don't agree with something or you don't like what we're doing let us know .
309,yeah I know .
310,"but every time you go on a trip or you come back all you all you all you say is ""/."
311,I don't like that what you guys are doing .
312,you guys are wasting your time .
313,that /.
314,she's not constructive with her criticism .
315,yeah .
316,"and Leticia is like ""/."
317,todo este tiempo she had like una cara como que no entendía lo que le estaban diciendo a ella .
318,and then Leticia you know Leticia finished .
319,uhhuh .
320,"and Raquel's like ""/."
321,what are you talking about ?
322,I've never said that about you .
323,uhhuh .
324,where are you hearing this ?
325,"and she's like ""/."
326,well you tell Ana .
327,you know and Ana's our supervisor .
328,and she tells us all this feedback .
329,right .
330,"and she's like ""/."
331,I've never said that .
332,I've never said that .
333,please tell Chloe and Maricarmen that I've never said that .
334,and if you want I could confront her .
335,we'll have a meeting .
336,and I'll tell her that I've never said that in front of you .
337,"and Leticia is like ""/."
338,no I don't want that .
339,that's the last thing I want .
340,just I just let us know if you disagree with something .
341,la cosa es que that was Thursday .
342,and yesterday I had to run some errands for the passport thing .
343,mhm .
344,and I called .
345,"and I was like ""/."
346,oh I'm gonna be a few minutes late .
347,because are you leaving somewhere again ?
348,well the visa expires in June .
349,so I have to renew it before I leave .
350,yeah yeah and do it now .
351,but wait you're flying to you oh okay .
352,yeah .
353,because I /.
354,the thing is that .
355,when I went to Canada I saw the madre .
356,yeah the passport .
357,it's yeah and I didn't realize it because .
358,in December December the December before that if you were going to Canada or Mexico you didn't need a passport .
359,and then that December they passed the law .
360,so like there I was two weeks before the trip .
361,"and I'm like ""/."
362,oh do you need a passport ?
363,"and Michael was like ""/."
364,I don't know .
365,"he's like ""/."
366,I have mine up to date .
367,yeah .
368,"and I'm like ""/."
369,oops .
370,I was so lucky .
371,you know in downtown there's a passport building .
372,uhhuh .
373,there's a courthouse across the street .
374,we were working at the courthouse .
375,and I would go through my lunchtime .
376,thank god I was able to find a ...
377,some ...
378,well I had to make an appointment .
379,and then I had to say that I was taking doctor's appointments and everything .
380,because I had to go .
381,I was two hours in line .
382,lo que pasa es un relajo .
383,yeah why I said that ...
384,yeah do it now if you can .
385,and then the thing is that I went .
386,and they told me that I didn't //.
387,I had to get a new passport .
388,"so I'm like ""/."
389,oh my god .
390,I have a week .
391,how old were you when you took your last picture ?
392,because eso no importa .
393,oh .
394,the thing is that .
395,my passport ellos me lo han revalidado dos veces .
396,and now it's a law you know in the Nicaraguan consul whatever .
397,.
398,que si ya te lo han revalidado dos veces .
399,you have to get a new passport .
400,even if I have like you know sheets available .
401,that's so stupid .
402,there are pages available whatever .
403,when you get your US passport are you gonna keep your Nicaraguan passport too ?
404,I don't know .
405,with a US passport you don't have to do that .
406,no I think my parents don't have it any more .
407,I think Sarah does .
408,yeah .
409,I don't know why .
410,but Sarah wasn't born there .
411,but she has a Nicaraguan //.
412,when she lived over there I think that's when she got it .
413,oh really ?
414,yeah .
415,oh okay .
416,la cosa es que /.
417,your brother is ...
418,huh ?
419,is going for citizenship too or no ?
420,yeah I have to apply with him .
421,will he get ..?
422,thank you .
423,oh thank you .
424,oh but he's not a minor any more .
425,god he's old !
426,ah .
427,thank you .
428,I forgot how old he is .
429,thank you .
430,thank you .
431,thank you very much .
432,.
433,thank you .
434,I'm okay .
435,that's it .
436,just that ...
437,yes please thank you .
438,what was I saying ?
439,so I called her in .
440,the passport .
441,and she calls me back .
442,"and she's like ""/."
443,Chloe we're having a meeting .
444,all the designers I need to clear things up .
445,and I'm like .
446,Raquel's the name of the boss ?
447,yeah .
448,la pesada .
449,yeah .
450,okay .
451,our supervisor is Ana .
452,and honestly /.
453,Ana's her cousin ?
454,no Ana's just a girl she's always worked with .
455,but /.
456,but she's not above her .
457,no she's below her .
458,she's just above us .
459,okay .
460,pero she has like una mala fama .
461,to me she's always been nice but she's /.
462,who Ana ?
463,yeah .
464,oh okay .
465,and you know they told me several people .
466,que han echado gente por ella stuff like that .
467,oh really ?
468,well then the thing is Raquel wanted to confront everybody .
469,and clear everything out .
470,and tell Ana that that wasn't true .
471,la cosa es que ...
472,she had me on phone conference .
473,and she practically told Ana that no that everything that she said she was telling her and right she wasn't referring to us .
474,whatever .
475,the thing is that I get to the office and Ana's like almost crying .
476,"she's like ""/."
477,that's not true .
478,yo no la desmentí porque .
479,what's my word against hers .
480,yeah .
481,"but she's like ""/."
482,believe me .
483,that's what she says .
484,I'm not lying .
485,so I don't know who's lying you know .
486,parásita .
487,and so they both have a reputation of ...
488,yeah both of them !
489,so it's like Lauren I don't know who to trust .
490,some people are good actors too .
491,oh yeah .
492,and oh and then Raquel she blamed it on Elisa .
493,Elisa left the office .
494,she got transferred to New_York .
495,so you know she kind of found okay well let me blame it on Elisa because she's not in the office .
496,but if this /.
497,to defend herself .
498,and not to you know para no echar a adelante you know .
499,but in the end if if this problem gets bigger ...
500,uhhuh .
501,"and Ana says ""/."
502,well Elisa was the one gossiping you know .
503,and she Elisa's like she doesn't know what's going on .
504,it's a mess .
505,and I'm just like tired of it .
506,what was it they were blaming on her ?
507,that she was the one that told Raquel what Ana was saying to us .
508,that's how Raquel found out that you know Ana was telling ...
509,oh .
510,yeah .
511,telling us that she wasn't happy with our work .
512,well if she's not happy with the work fine you know .
513,I mean you can understand that you know .
514,everybody has their own level of expectations .
515,but .
516,"but why don't you think just sit down and be like ""/."
517,look you guys I would prefer if you guys /.
518,and she's telling us she never said that .
519,o sea I don't know who is lying .
520,and honestly I'm tired of it .
521,and I don't care you know ?
522,ya me tienen cansada .
523,.
524,no thank you .
525,thank you .
526,.
527,yes .
528,me tienen cansada .
529,you know in situations like that the truth always comes out .
530,always .
531,sooner or later somebody will slip .
532,mhm .
533,how annoying .
534,that's is like high school .
535,yeah .
536,mm .
537,but they're not complaining about you are they ?
538,.
539,I get along with everybody .
540,mhm .
541,but I just hate being ...
542,yeah all the second guessing back and forth thing .
543,and it's distracting .
544,yeah .
545,they gave me two tickets to the movies .
546,oh really ?
547,for my birthday .
548,who at work ?
549,that's cool .
550,for my birthday .
551,hm ?
552,oh it's Michael .
553,ah .
554,hello ?
555,hi .
556,thank you .
557,I'm here at Denny's with my cousin .
558,because we're eating breakfast .
559,or lunch !
560,you don't seem to .
561,I told you yesterday I was gonna go and do this remember .
562,I was gonna do the whole recording thing for María's friend .
563,yes .
564,mi entonces ahora you wanna speak Spanish !
565,oh .
566,very cute .
567,.
568,I told you I was gonna eat at Denny's with Chloe .
569,but that's it I'm not .
570,no more sweets .
571,that's the end of it I promise .
572,no sweets today no sweets ...
573,tomorrow I promise .
574,I gotta talk to you about my puppy .
575,she has her lungs are swollen .
576,and they put her on antibiotics for two weeks .
577,two pills a day .
578,and I have to give her fifteen drops of some fluid thing .
579,.
580,he //.
581,I told him what happened .
582,he started making a noise .
583,"I'm like ""/."
584,yes that is exactly it .
585,and so then he did an x-ray out of her lungs .
586,"and he asked me he's like ""/."
587,has she been in an accident or something ?
588,I'm like no .
589,"he's like ""/."
590,has she you know gone into the pool ?
591,I guess asking me if she's swallowed water or something .
592,"I'm like no I'm like ""/."
593,she hates the water .
594,I mean god even when I bathe her you know it's like no .
595,so I don't know if maybe it's from before that she's had it .
596,and she's accumulating sitting there .
597,I mean I don't know .
598,maybe one day when I took her to the beach .
599,she might have swallowed some water accidentally //.
600,I mean I don't know where it came from .
601,so he told me to ...
602,huh ?
603,"no no no no I'm like ""/."
604,it's curable ?
605,it's treatable ?
606,"he's like ""/."
607,oh yeah yeah yeah yeah .
608,"he's like ""/."
609,it's just that her ...
610,he showed me the x-ray .
611,it's like a part of her lung //.
612,it's so fascinating .
613,like I would want to be a vet except I don't like biology .
614,oh and they had to put a little cat to sleep today .
615,I'll tell you about that later .
616,this is so sad .
617,oy .
618,uhuh this is why I couldn't be a vet .
619,anyways .
620,no he showed me a part of her lungs that in the x-ray they came out black .
621,like they were just very dark because they were swollen .
622,"and he's like ""/."
623,you see it's like they shouldn't be that dark .
624,they should be more like this .
625,and he compared it to like a lighter gray area in her lung .
626,"so he's like ""/."
627,well we'll put her on antibiotics .
628,and then come back in two weeks .
629,so ...
630,"he's like you know ""/."
631,take the biotics because her lungs are swollen .
632,I guess her lungs are swollen and making her cough .
633,and so then ...
634,what her lungs being swollen ?
635,I don't know .
636,I didn't ask him .
637,he's not sure what it is .
638,he told me to give her the medication .
639,and then see if it happens in two weeks .
640,and then if it continues in two weeks then he'll see you know what else it could be .
641,so ...
642,he gave her a shot today so I'm not going to give her any medication until tomorrow .
643,so she's in my room right now .
644,she's sleeping because she's drowsy and stuff .
645,and he cleaned her glands .
646,and then I told him about the flea thing .
647,he gave me some pills for the fleas .
648,it's a pill .
649,you give her one pill every ten days and it kills the fleas within thirty minutes of her taking the pills .
650,so I gave her the pill right when I got home .
651,and he just told me just to you know not to bathe her now .
652,but to you know just clean the house or whatever like you know .
653,the usual .
654,he told me you've got nothing to worry about obviously .
655,so other than that she's okay .
656,I don't know .
657,I didn't ask him .
658,he knew what it was .
659,he knew what medication to give her .
660,so I'm sure he must be familiar with whatever it is .
661,he's just asked me where it came from .
662,and I told him I didn't know so ...
663,because I didn't know I guess he couldn't really ...
664,he couldn't assume where it came from so .
665,the coughing .
666,"yeah he's like ""/."
667,it's probably because her lungs are swollen .
668,he told me .
669,so he's like ...
670,I didn't tell him about the sneezing .
671,the sneezing I really think is because she hits her nose .
672,I mean when I hit my nose I sneeze .
673,so she's always launching herself into the carpet .
674,and hitting herself with a paw .
675,and I just think it has to do with that .
676,but I'll mention it .
677,if it continues like severely then I'll tell him in two weeks when I see him .
678,he took her temperature .
679,she has she had a hundred and two of temperature .
680,her normal temperature is one oh one .
681,so it was a little bit high .
682,so ...
683,but he said it wasn't a fever or anything .
684,and she gained like two pounds .
685,so ...
686,okay what are we gonna do ?
687,four maybe ?
688,okay .
689,okay bye .
690,what are you going to do afterwards ?
691,I dunno .
692,I have to finish a drawing for my parents .
693,and so yesterday Michael and I //.
694,he started telling me like .
695,he sketched over what I need to put in the drawings .
696,so but I need him to help me draw detail .
697,because the wall's being constructed .
698,uhhuh .
699,like I know like the foundations and the footings .
700,but I don't know the actual construction .
701,and what the materials are called .
702,and how to technically put them in the drawings .
703,so he does obviously .
704,mhm .
705,so I have to sit with him and do it .
706,my parents are like asking me and bothering me about it .
707,I'm like ...
708,I understand .
709,"but it's like ""/."
710,look like I have things to do .
711,you know last weekend like I had to take work home for my boss .
712,yeah .
713,my boss .
714,so it's like don't assume that I have every weekend all the time to do it you know .
715,then I have that exam to study for .
716,so ugh .
717,I wanted to go to ...
718,what are we going to do afterwards ?
719,nothing I have ...
720,I wanted to go to Old_Navy .
721,well I have to go to Old_Navy to get Carolina and Carolina's daughter something ...
722,mhm .
723,for tomorrow so ...
724,I figure I'll find something there in the sale .
725,because I just spent a hundred and forty dollars on the vet .
726,so I have no money .
727,uhhuh .
728,later I have to go with Sarah to buy something for one of our friend's birthdays that's tonight .
729,and ...
730,you're going to a party ?
731,yeah it's in a house .
732,like a get together .
733,and I have work to do .
734,for work ?
735,because yesterday oh with the whole passport thing uhhuh I had to do the ladies like in the morning .
736,"she told me she's like ""/."
737,you have to do this today .
738,alright .
739,"so I'm like ""/."
740,oh I told my coworkers and Raquel .
741,"I'm like ""/."
742,I'm not feeling well .
