,sentence,pos,language,switch
0,well no .,co co .,ENG ENG,0
1,we rode for nine days .,pro:sub v prep det:num n .,ENG ENG ENG ENG ENG,0
2,.,None,,0
3,from Miami to Sanford .,prep n:prop prep n:prop .,ENG ENG ENG ENG,0
4,from Sanford we took the train the Amtrak train and rode it to Virginia .,prep n:prop pro:sub v det:art n det:art n:prop n coord v pro:per prep n:prop .,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
5,mhm .,co .,ENG,0
6,then from Virginia we crossed all over in through New_York .,adv:tem prep n:prop pro:sub v adv adv adv adj n:prop .,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
7,then we crossed in through Boston .,adv:tem pro:sub v adv prep n:prop .,ENG ENG ENG ENG ENG ENG,0
8,then we went in through ah /.,adv:tem pro:sub v prep adv co +/.,ENG ENG ENG ENG ENG ENG,0
9,what is it ?,pro:int cop pro:per ?,ENG ENG ENG,0
10,Niagara_Falls .,n:prop .,ENG,0
11,then we crossed back from Niagara_Falls .,adv:tem pro:sub v adv prep n:prop .,ENG ENG ENG ENG ENG ENG,0
12,we stopped in Philadelphia .,pro:sub v prep n:prop .,ENG ENG ENG ENG,0
13,then from Philadelphia we rode down through ah Virginia .,adv:tem prep n:prop pro:sub v adv prep co n:prop .,ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
14,we went to the Laurie_Camerons .,pro:sub v prep det:art n:prop .,ENG ENG ENG ENG ENG,0
15,mhm .,co .,ENG,0
16,then from the Laurie_Camerons we went back to the Amtraks station .,adv:tem prep det:art n:prop pro:sub v adv prep det:art n:prop n .,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
17,we rode back to Sanford .,pro:sub v adv prep n:prop .,ENG ENG ENG ENG ENG,0
18,and then we rode back to Miami .,coord adv:tem pro:sub v adv prep n:prop .,ENG ENG ENG ENG ENG ENG ENG,0
19,okay .,co .,ENG,0
20,and that was it .,coord pro:dem cop pro:per .,ENG ENG ENG ENG,0
21,that was a very good experience .,pro:dem cop det:art adv adj n .,ENG ENG ENG ENG ENG ENG,0
22,what is the next trip that we did ?,pro:int cop det:art adj n pro:rel pro:sub v ?,ENG ENG ENG ENG ENG ENG ENG ENG,0
23,no as far as long trips we haven't done any other long ones .,co adv adv conj adj n pro:sub aux part qn qn adj pro:indef .,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
24,no the short one that we did .,qn det:art adj pro:indef pro:rel pro:sub v .,ENG ENG ENG ENG ENG ENG ENG,0
25,oh we've been to /.,co pro:sub cop prep +/.,ENG ENG ENG ENG,0
26,we went to Lisberg .,pro:sub v prep n:prop .,ENG ENG ENG ENG,0
27,yeah we've been to Lisberg .,co pro:sub cop prep n:prop .,ENG ENG ENG ENG ENG,0
28,we've been to ah ...,pro:sub cop prep co +...,ENG ENG ENG ENG,0
29,Tampa .,n:prop .,ENG,0
30,Tampa .,n:prop .,ENG,0
31,we've been to eh eh Silverprings .,pro:sub cop prep co co n:prop .,ENG ENG ENG ENG ENG ENG,0
32,we've been to Rocksprings .,pro:sub cop prep n:prop .,ENG ENG ENG ENG,0
33,we went to /.,pro:sub v prep +/.,ENG ENG ENG,0
34,I forgot the name now .,pro:sub v det:art n adv .,ENG ENG ENG ENG ENG,0
35,where was that place ?,pro:int cop pro:dem v ?,ENG ENG ENG ENG,0
36,where we saw the ...,pro:int pro:sub v det:art +...,ENG ENG ENG ENG,0
37,for the bike rally .,prep det:art n n .,ENG ENG ENG ENG,0
38,fuimos a ...,v aprep +...,ENG ENG,0
39,I forget the name of that place .,pro:sub v det:art n prep det:dem n .,ENG ENG ENG ENG ENG ENG ENG,0
40,eh ...,co +...,ENG,0
41,no I can't forget it .,co pro:sub mod v pro:per .,ENG ENG ENG ENG ENG,0
42,I forgot the name .,pro:sub v det:art n .,ENG ENG ENG ENG,0
43,we've been to .,pro:sub cop prep .,ENG ENG ENG,0
44,mhm .,co .,ENG,0
45,Everglade_City .,n:prop .,ENG,0
46,Naples .,n:prop .,ENG,0
47,eh .,co .,ENG,0
48,Marco_Island .,n:prop .,ENG,0
49,Marco_Island .,n:prop .,ENG,0
50,and we've been to ...,coord pro:sub cop prep +...,ENG ENG ENG ENG,0
51,yes .,co .,ENG,0
52,yeah .,co .,ENG,0
53,we went to ah //.,pro:sub v prep co +//.,ENG ENG ENG ENG,0
54,the bike doesn't have a year yet .,det:art n mod v det:art n adv .,ENG ENG ENG ENG ENG ENG ENG,0
55,it won't have a year until July .,pro:per mod v det:art n prep n:prop .,ENG ENG ENG ENG ENG ENG ENG,0
56,and I've already /.,coord pro:sub adv +/.,ENG ENG ENG,0
57,.,None,,0
58,yes .,co .,ENG,0
59,yeah .,co .,ENG,0
60,we've got almost ten thousand miles on the bike .,pro:sub part adv det:num det:num n prep det:art n .,ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
61,ten thousand miles on the bike .,det:num det:num n prep det:art n .,ENG ENG ENG ENG ENG ENG,0
62,and we haven't had it a year .,coord pro:sub aux part pro:per det:art n .,ENG ENG ENG ENG ENG ENG ENG,0
63,we ride .,pro:sub v .,ENG ENG,0
64,.,None,,0
65,well no .,co co .,ENG ENG,0
66,yeah .,co .,ENG,0
67,sometimes he goes .,adv pro:sub v .,ENG ENG ENG,0
68,he he sometimes he goes .,pro:sub pro:sub adv pro:sub v .,ENG ENG ENG ENG ENG,0
69,sometimes he doesn't .,adv pro:sub mod .,ENG ENG ENG,0
70,sometimes he doesn't .,adv pro:sub mod .,ENG ENG ENG,0
71,it all depends .,pro:per adv v .,ENG ENG ENG,0
72,if he doesn't have /.,conj pro:sub mod v +/.,ENG ENG ENG ENG,0
73,depending how she feels .,part pro:rel pro:sub v .,ENG ENG ENG ENG,0
74,like this weekend we're not going .,prep det:dem n pro:sub neg part .,ENG ENG ENG ENG ENG ENG,0
75,because this weekend /.,conj det:dem n +/.,ENG ENG ENG,0
76,this weekend the club does not have anything eh designed .,det:dem n det:art n mod neg v pro:indef co v .,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
77,they do .,pro:sub v .,ENG ENG,0
78,they do .,pro:sub v .,ENG ENG,0
79,they do ?,pro:sub v ?,ENG ENG,0
80,they're gonna go eat at Rib_City at Immokalee .,pro:sub part v v prep n:prop prep n:prop .,ENG ENG ENG ENG ENG ENG ENG ENG,0
81,but they're changing it because of Good_Friday .,conj pro:sub part pro:per conj prep n:prop .,ENG ENG ENG ENG ENG ENG ENG,0
82,they're not gonna have club on Friday .,pro:sub neg part v n prep n:prop .,ENG ENG ENG ENG ENG ENG ENG,0
83,but they're gonna have it on Saturday .,conj pro:sub part v pro:per prep n:prop .,ENG ENG ENG ENG ENG ENG ENG,0
84,plus Saturday we gotta go to my sister's party .,prep n:prop pro:sub mod v prep det:poss adj n .,ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
85,and then Sunday we got the wedding for Juan's sister .,coord adv:tem n:prop pro:sub v det:art n prep adj n .,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
86,yeah .,co .,ENG,0
87,so we can't /.,co pro:sub mod +/.,ENG ENG ENG,0
88,Sunday I have the wedding on Juan's sister .,n:prop pro:sub v det:art n prep adj n .,ENG ENG ENG ENG ENG ENG ENG ENG,0
89,that's a nice ride to Immokalee //.,pro:dem det:art adj n prep n:prop +//.,ENG ENG ENG ENG ENG ENG,0
90,Immokalee it's a little town all Mexicans .,n:prop pro:per det:art adj n adv n:prop .,ENG ENG ENG ENG ENG ENG ENG,0
91,but ah we just go there to eat .,conj co pro:sub adv v adv inf v .,ENG ENG ENG ENG ENG ENG ENG ENG,0
92,we go for the ride .,pro:sub v prep det:art n .,ENG ENG ENG ENG ENG,0
93,and we cruise through town .,coord pro:sub v adj n .,ENG ENG ENG ENG ENG,0
94,we cruise through town .,pro:sub n adv n .,ENG ENG ENG ENG,0
95,.,None,,0
96,ah and Immokalee is /.,co coord n:prop cop +/.,ENG ENG ENG ENG,0
97,what we do is is we take Alligator_Alley .,pro:int pro:sub v cop cop pro:sub v n:prop .,ENG ENG ENG ENG ENG ENG ENG ENG,0
98,when we get to where the Seminole tribes are we go through that road there right where the gas station is .,conj pro:sub v prep pro:int det:art n:prop n cop pro:sub v adv det:dem n adv adv pro:rel det:art n n cop .,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
99,follow that road .,v comp n .,ENG ENG ENG,0
100,and that's called Snake_Road I think it's called .,coord pro:dem part n:prop pro:sub v pro:per part .,ENG ENG ENG ENG ENG ENG ENG ENG,0
101,and that goes in through their town .,coord pro:dem v adv prep det:poss n .,ENG ENG ENG ENG ENG ENG ENG,0
102,and then from there we cross over I think it's into ah State_Road thirty one eh or four thirty one .,coord adv:tem prep n pro:sub v adv pro:sub v pro:per prep co n:prop det:num det:num co coord det:num det:num det:num .,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
103,and that takes us all the way across into Immokalee .,coord pro:rel v pro:obj adv det:art n adv prep n:prop .,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
104,and then /.,coord adv:tem +/.,ENG ENG,0
105,.,None,,0
106,yeah it's a little town .,co pro:per det:art adj n .,ENG ENG ENG ENG ENG,0
107,no I remember seeing the sign .,co pro:sub v n:gerund det:art n .,ENG ENG ENG ENG ENG ENG,0
108,but I don't know exactly what it is .,conj pro:sub mod v adv pro:int pro:per cop .,ENG ENG ENG ENG ENG ENG ENG ENG,0
109,it looks a little bit like ...,pro:per v det:art adj n prep +...,ENG ENG ENG ENG ENG ENG,0
110,I don't know .,pro:sub mod v .,ENG ENG ENG,0
111,it looks a little bit like ah Naples .,pro:per v det:art adj n co co n:prop .,ENG ENG ENG ENG ENG ENG ENG ENG,0
112,ah something like that .,co pro:indef prep pro:dem .,ENG ENG ENG ENG,0
113,on the outer reaches of Naples .,prep det:art adj n prep n:prop .,ENG ENG ENG ENG ENG ENG,0
114,because it's not as as modern as Naples .,conj pro:per neg prep adv adj prep n:prop .,ENG ENG ENG ENG ENG ENG ENG ENG,0
115,because it's imagine it's all agricultural .,conj pro:per v pro:per adv adj .,ENG ENG ENG ENG ENG ENG,0
116,.,None,,0
117,yeah it's all agricultural .,co pro:per adv adj .,ENG ENG ENG ENG,0
118,and like I said the only thing there's there is just pretty much Mexicans .,coord co pro:sub v det:art qn n pro:exist adv aux adv adv adv n:prop .,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
119,that's it .,pro:dem pro:per .,ENG ENG,0
120,they're all little people .,pro:sub adv adj n .,ENG ENG ENG ENG,0
121,none of them go over four feet .,pro:indef prep pro:obj v adv det:num n .,ENG ENG ENG ENG ENG ENG ENG,0
122,they're all tiny little people .,pro:sub adv adj adj n .,ENG ENG ENG ENG ENG,0
123,and the kids are all you know eh chinito types .,coord det:art n cop adv pro:per v co L2 n .,ENG ENG ENG ENG ENG ENG ENG ENG ESP ENG,1
124,and they have the little Asian looks .,coord pro:sub v det:art adj n:prop v .,ENG ENG ENG ENG ENG ENG ENG,0
125,the same way when we ride to the toy run .,det:art adj n conj pro:sub v prep det:art n v .,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
126,we did the toy run this year .,pro:sub v det:art n v det:dem n .,ENG ENG ENG ENG ENG ENG ENG,0
127,they said there was like forty thousand motorcycles there .,pro:sub v adv cop co det:num det:num n adv .,ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
128,we rode /.,pro:sub v +/.,ENG ENG,0
129,.,None,,0
130,no .,co .,ENG,0
131,no .,co .,ENG,0
132,this is the main toy run .,pro:dem cop det:art adj n v .,ENG ENG ENG ENG ENG ENG,0
133,the one that deals eh your uncle's ah ...,det:art det:num adv n co det:poss n co +...,ENG ENG ENG ENG ENG ENG ENG ENG,0
134,Santaclause is our personal toy run .,n:prop cop det:poss adj n v .,ENG ENG ENG ENG ENG ENG,0
135,.,None,,0
136,.,None,,0
137,we went like two hundred bikes .,pro:sub v prep det:num det:num n .,ENG ENG ENG ENG ENG ENG,0
138,what everybody ...,pro:int pro:indef +...,ENG ENG,0
139,eh we went two hundred bikes at the toy run .,co pro:sub v det:num det:num n prep det:art n v .,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
140,nosotros .,pro:sub .,ENG,0
141,our own one .,det:poss adj pro:indef .,ENG ENG ENG,0
142,of ours .,prep pro:poss .,ENG ENG,0
143,of the club .,prep det:art n .,ENG ENG ENG,0
144,right .,co .,ENG,0
145,and then everybody took a toy to donate for the poor children .,coord adv:tem pro:indef v det:art n inf v prep det:art adj n .,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
146,yeah we took a truck full of toys .,co pro:sub v det:art n adj prep n .,ENG ENG ENG ENG ENG ENG ENG ENG,0
147,and there were about two trucks .,coord adv cop prep det:num n .,ENG ENG ENG ENG ENG ENG,0
148,because what happens is is that main toy run which is the south Florida president's council is what it's called they it's a bunch of ah clubs that are associated .,conj pro:int v cop cop det:dem adj n v pro:rel cop det:art n n:prop adj n cop pro:int pro:per part pro:sub pro:per det:art n prep co n pro:rel aux part .,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
149,and then what happens is is everybody goes and donates a toy .,coord adv:tem pro:int v cop aux pro:indef v coord v det:art n .,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
150,apart from donating a toy you pay ten dollars per person to ride in the toy run .,adv prep n:gerund det:art n pro:per v det:num n prep n prep n prep det:art n v .,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
151,and this year after they paid everything they they got all the money that they grossed out after they paid all the debts that they had to pay we donated to Joe Dimaggio I think was five hundred and eighty seven thousand dollars .,coord det:dem n prep pro:sub v pro:indef pro:sub pro:sub v qn det:art n pro:rel pro:sub v adv conj pro:sub v adv det:art n pro:rel pro:sub v inf v pro:sub v prep n:prop n:prop pro:sub v cop det:num det:num coord det:num det:num det:num n .,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
152,plus we donated about twenty thousand toys .,prep pro:sub v prep det:num det:num n .,ENG ENG ENG ENG ENG ENG ENG,0
153,so but that's the biggest toy run .,co conj pro:rel det:art adj n v .,ENG ENG ENG ENG ENG ENG ENG,0
154,that one's the one we leave from Pampano Pampano_Beach .,comp adj det:art det:num pro:sub v prep n:prop n:prop .,ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
155,and we ride .,coord pro:sub v .,ENG ENG ENG,0
156,they close I_ninety five and five ninety five .,pro:sub v n:prop det:num coord det:num det:num det:num .,ENG ENG ENG ENG ENG ENG ENG ENG,0
157,they close it .,pro:sub v pro:per .,ENG ENG ENG,0
158,they close it for us .,pro:sub v pro:per prep pro:obj .,ENG ENG ENG ENG ENG,0
159,and the bikes will go all the way from Pampano all the way through I ninety five five ninety five all the way to Markham_Park .,coord det:art n mod v adv det:art n prep n:prop adv det:art n adv pro:sub det:num det:num det:num det:num det:num adv det:art n prep n:prop .,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
160,and there's people already on both ends and the line's still riding through that's how many bikes go .,coord pro:exist n adv prep qn n coord det:art n adv part prep pro:dem pro:int qn n v .,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
161,and they close everything .,coord pro:sub v pro:indef .,ENG ENG ENG ENG,0
162,they have police come from all over the counties .,pro:sub v n v prep adv prep det:art n .,ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
163,and they close it off .,coord pro:sub v pro:per adv .,ENG ENG ENG ENG ENG,0
164,they close off completely I_ninety five only motorcycle travel .,pro:sub v adv adv n:prop det:num qn n n .,ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
165,and that's through //.,coord pro:dem adv +//.,ENG ENG ENG,0
166,we had a lot of fun .,pro:sub v det:art n prep n .,ENG ENG ENG ENG ENG ENG,0
167,we were there parking bikes from what was it seven or eight in the morning .,pro:sub aux adv part n prep pro:int cop pro:per det:num coord det:num prep det:art n .,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
168,at eight in the morning .,prep det:num prep det:art n .,ENG ENG ENG ENG ENG,0
169,until like ah two o'clock ?,conj co co det:num n ?,ENG ENG ENG ENG ENG,0
