,sentence,pos,language,switch
0,well she was telling me about this thing with Oprah .,co pro:sub aux part pro:obj prep det:dem n prep n:prop .,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
1,that she's a new age thing .,pro:rel pro:sub det:art adj n n .,ENG ENG ENG ENG ENG ENG,0
2,and she's a book .,coord pro:sub det:art n .,ENG ENG ENG ENG,0
3,and she has a video blog .,coord pro:sub v det:art n n .,ENG ENG ENG ENG ENG ENG,0
4,and she's promoting her book after her show .,coord pro:sub part det:poss n prep det:poss n .,ENG ENG ENG ENG ENG ENG ENG ENG,0
5,it's weird .,pro:per adj .,ENG ENG,0
6,I'm gonna go online to see what it's all about .,pro:sub part v adj inf v pro:int pro:per adv adv .,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
7,a new age thing ?,det:art adj n n ?,ENG ENG ENG ENG,0
8,yeah like you're your own god .,co conj pro:per det:poss adj n .,ENG ENG ENG ENG ENG ENG,0
9,like this ...,prep pro:dem +...,ENG ENG,0
10,and stuff like that .,coord n prep pro:dem .,ENG ENG ENG ENG,0
11,I've heard of those things .,pro:sub part prep det:dem n .,ENG ENG ENG ENG ENG,0
12,she's into that now ?,pro:sub prep pro:dem adv ?,ENG ENG ENG ENG,0
13,I guess .,pro:sub v .,ENG ENG,0
14,you know and she has a new show about .,pro:per v coord pro:sub v det:art adj n adv .,ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
15,she gets like ten people .,pro:sub v co det:num n .,ENG ENG ENG ENG ENG,0
16,mhm .,co .,ENG,0
17,and they have to //.,coord pro:sub v prep +//.,ENG ENG ENG ENG,0
18,I don't know what it is .,pro:sub mod v pro:int pro:per cop .,ENG ENG ENG ENG ENG ENG,0
19,it's about basically she's giving them money .,pro:per adv adv pro:sub part pro:obj n .,ENG ENG ENG ENG ENG ENG ENG,0
20,or they get millions of dollars or something to donate .,coord pro:sub v det:num prep n coord pro:indef inf v .,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
21,mhm .,co .,ENG,0
22,to a charity of their choice .,prep det:art n prep det:poss n .,ENG ENG ENG ENG ENG ENG,0
23,but that's the whole show .,conj pro:dem det:art adj n .,ENG ENG ENG ENG ENG,0
24,"and I'm like ""/.","coord pro:sub prep +""/.",ENG ENG ENG,0
25,you're just trying to show and promote that you're trying to donate so much millions of dollars right .,pro:per adv part inf v coord v adv pro:per part inf v adv adv det:num prep n adj .,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
26,you have to promote it and make a thing out of it .,pro:per v inf v pro:per coord v det:art n adv prep pro:per .,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
27,yeah .,co .,ENG,0
28,and then the people who are able to raise the thing the most funds and donate it .,coord adv:tem det:art n pro:rel cop adj inf v det:art n det:art qn n coord v pro:per .,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
29,she gives them like ten million dollars or something .,pro:sub v pro:obj prep det:num det:num n coord pro:indef .,ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
30,oh .,co .,ENG,0
31,no .,co .,ENG,0
32,I'm like I'm not interested in that you know .,pro:sub conj pro:sub neg part prep comp pro:per v .,ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
33,I don't know .,pro:sub mod v .,ENG ENG ENG,0
34,I think it's getting to her head that she's like ...,pro:sub v pro:per n:gerund prep det:poss adj comp pro:sub prep +...,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
35,I think what she does is great .,pro:sub v pro:int pro:sub v cop adj .,ENG ENG ENG ENG ENG ENG ENG,0
36,very influential or something .,adv adj coord pro:indef .,ENG ENG ENG ENG,0
37,it's like Bono you know .,pro:per conj n:prop pro:per v .,ENG ENG ENG ENG ENG,0
38,yeah .,co .,ENG,0
39,pero .,conj .,ENG,0
40,I've never watched Oprah .,pro:sub adv part n:prop .,ENG ENG ENG ENG,0
41,whatever .,pro:int .,ENG,0
42,and the drama continues /.,coord det:art n v +/.,ENG ENG ENG ENG,0
43,y Fernando ?,L2 n:prop ?,ESP ENG,1
44,he's good he's good .,pro:sub adj pro:sub adj .,ENG ENG ENG ENG,0
45,I'm leaving on Friday .,pro:sub part prep n:prop .,ENG ENG ENG ENG,0
46,okay .,co .,ENG,0
47,please don't leave .,co mod v .,ENG ENG ENG,0
48,the chair .,det:art n .,ENG ENG,0
49,I haven't seen any of the pictures yes !,pro:sub aux part qn prep det:art n co !,ENG ENG ENG ENG ENG ENG ENG ENG,0
50,well maybe they can email it to you right ?,adv adv pro:sub mod n pro:per prep pro:per adj ?,ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
51,yeah .,co .,ENG,0
52,you check your email in Nicaragua ?,pro:per v det:poss n prep n:prop ?,ENG ENG ENG ENG ENG ENG,0
53,yeah email it to me .,co n pro:per prep pro:obj .,ENG ENG ENG ENG ENG,0
54,okay I'll email it .,co pro:sub n pro:per .,ENG ENG ENG ENG,0
55,sorry I keep right //.,adj pro:sub v adj +//.,ENG ENG ENG ENG,0
56,and I saw it today .,coord pro:sub v pro:per adv:tem .,ENG ENG ENG ENG ENG,0
57,because I you know I use it to put my shoes off .,conj pro:sub pro:per v pro:sub v pro:per inf v det:poss n adv .,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
58,said I don't think my grandmother's gonna get it right .,v pro:sub mod v det:poss grand#n part v pro:per co .,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
59,I showed it to her .,pro:sub v pro:per prep pro:obj .,ENG ENG ENG ENG ENG,0
60,.,None,,0
61,say oh she went to the plastic surgery .,co co pro:sub v prep det:art n n .,ENG ENG ENG ENG ENG ENG ENG ENG,0
62,se jaló la cara de nuevo .,pro:refl v det:art n prep adj .,ENG ENG ENG ENG ENG ENG,0
63,ah my lord !,co det:poss n !,ENG ENG ENG,0
64,your grandmother !,det:poss grand#n !,ENG ENG,0
65,because I remember when she did it the first time .,conj pro:sub v conj pro:sub mod pro:per det:art adj n .,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
66,your grandmother was here visiting .,det:poss grand#n aux adv part .,ENG ENG ENG ENG ENG,0
67,you know we used to live with my dad over there .,pro:per v pro:sub v inf v prep det:poss n prep n .,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
68,and then we went to go see them .,coord adv:tem pro:sub v inf v v pro:obj .,ENG ENG ENG ENG ENG ENG ENG ENG,0
69,mhm .,co .,ENG,0
70,"and your grandmother was like ""/.","coord det:poss grand#n cop prep +""/.",ENG ENG ENG ENG ENG,0
71,oh todo se mira en las manos .,co L2 L2 L2 L2 L2 L2 .,ENG ESP ESP ESP ESP ESP ESP,1
72,la vejez se mira en las manos .,det:art n pro:refl v prep det:art n .,ENG ENG ENG ENG ENG ENG ENG,0
73,because it's true .,conj pro:per adj .,ENG ENG ENG,0
74,you like you see her face is off .,pro:per v pro:per v det:poss n cop adv .,ENG ENG ENG ENG ENG ENG ENG ENG,0
75,and your hands age .,coord det:poss n v .,ENG ENG ENG ENG,0
76,but yeah you do see her .,conj co pro:per v v pro:obj .,ENG ENG ENG ENG ENG ENG,0
77,so se jaló la cara nueva .,adv L2 L2 L2 L2 L2 .,ENG ESP ESP ESP ESP ESP,1
78,so I don't know .,co pro:sub mod v .,ENG ENG ENG ENG,0
79,ay how funny .,L2 pro:rel adj .,ESP ENG ENG,1
80,I don't wanna .,pro:sub mod v .,ENG ENG ENG,0
81,if she gets me one fine then I'll use it you know .,conj pro:sub v pro:obj pro:indef adv adv:tem pro:sub v pro:per pro:per v .,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
82,but I trust you more .,conj pro:sub v pro:per pro:indef .,ENG ENG ENG ENG ENG,0
83,que no diga Nicaragua por favor .,L2 L2 L2 n:prop L2 L2 .,ESP ESP ESP ENG ESP ESP,1
84,yeah just plain just mhm sin nada .,co adv adv adv co L2 L2 .,ENG ENG ENG ENG ENG ESP ESP,1
85,like you know how they're like they're ...,conj pro:per v pro:int pro:sub conj pro:sub +...,ENG ENG ENG ENG ENG ENG ENG,0
86,I mean in the bottom of it fine .,pro:sub v prep det:art n prep pro:per adv .,ENG ENG ENG ENG ENG ENG ENG ENG,0
87,pero no you know they're so patriotic and they ...,L2 L2 pro:per v pro:sub adv adj coord pro:sub +...,ESP ESP ENG ENG ENG ENG ENG ENG ENG,1
88,yeah yeah I know I know .,co co pro:sub v pro:sub v .,ENG ENG ENG ENG ENG ENG,0
89,I'm sorry !,pro:sub adj !,ENG ENG,0
90,just email it to me .,adv n pro:per prep pro:obj .,ENG ENG ENG ENG ENG,0
91,yo se lo mando a Fernando .,L2 L2 L2 L2 L2 n:prop .,ESP ESP ESP ESP ESP ENG,1
92,I'll email it closed and I'll email it open .,pro:sub n pro:per v coord pro:sub n pro:per v .,ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
93,yeah .,co .,ENG,0
94,so you can see how it cool .,co pro:per mod v pro:int pro:per adj .,ENG ENG ENG ENG ENG ENG ENG,0
95,no but he's good .,co conj pro:sub adj .,ENG ENG ENG ENG,0
96,he's moving ...,pro:sub part +...,ENG ENG,0
97,where ?,pro:rel ?,ENG,0
98,to .,inf .,ENG,0
99,with he lives with his mom or with his sister ?,prep pro:sub v prep det:poss n coord prep det:poss n ?,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
100,no with his mom .,co prep det:poss n .,ENG ENG ENG ENG,0
101,they're moving from the house there right .,pro:sub part prep det:art n adv adj .,ENG ENG ENG ENG ENG ENG ENG,0
102,and right now .,coord adv adv .,ENG ENG ENG,0
103,porque it's a lot cheaper .,L2 pro:per det:art n adj .,ESP ENG ENG ENG ENG,1
104,it's like almost fifty dollars cheaper /.,pro:per conj adv det:num n adj +/.,ENG ENG ENG ENG ENG ENG,0
105,but they sold their house verdad ?,conj pro:sub part det:poss n L2 ?,ENG ENG ENG ENG ENG ESP,1
106,in rent .,prep n .,ENG ENG,0
